Epoch 265: Loss: 0.99470, Validation Loss: 2.70160
Epoch 266: Loss: 0.99477, Validation Loss: 2.70176
Epoch 267: Loss: 0.99483, Validation Loss: 2.70192
Epoch 268: Loss: 0.99490, Validation Loss: 2.70207
Epoch 269: Loss: 0.99496, Validation Loss: 2.70222
Epoch 270: Loss: 0.99502, Validation Loss: 2.70237
Epoch 271: Loss: 0.99509, Validation Loss: 2.70252
Epoch 272: Loss: 0.99515, Validation Loss: 2.70267
Epoch 273: Loss: 0.99521, Validation Loss: 2.70281
Epoch 274: Loss: 0.99527, Validation Loss: 2.70295
Epoch 275: Loss: 0.99533, Validation Loss: 2.70309
Epoch 276: Loss: 0.99538, Validation Loss: 2.70323
Epoch 277: Loss: 0.99544, Validation Loss: 2.70336
Epoch 278: Loss: 0.99549, Validation Loss: 2.70349
Epoch 279: Loss: 0.99555, Validation Loss: 2.70362
Epoch 280: Loss: 0.99560, Validation Loss: 2.70375
Epoch 281: Loss: 0.99566, Validation Loss: 2.70388
Epoch 282: Loss: 0.99571, Validation Loss: 2.70400
Epoch 283: Loss: 0.99576, Validation Loss: 2.70413
Epoch 284: Loss: 0.99581, Validation Loss: 2.70425
Epoch 285: Loss: 0.99586, Validation Loss: 2.70437
Epoch 286: Loss: 0.99591, Validation Loss: 2.70449
Epoch 287: Loss: 0.99596, Validation Loss: 2.70460
Epoch 288: Loss: 0.99601, Validation Loss: 2.70472
Epoch 289: Loss: 0.99606, Validation Loss: 2.70483
Epoch 290: Loss: 0.99610, Validation Loss: 2.70494
Epoch 291: Loss: 0.99615, Validation Loss: 2.70505
Epoch 292: Loss: 0.99619, Validation Loss: 2.70516
Epoch 293: Loss: 0.99624, Validation Loss: 2.70527
Epoch 294: Loss: 0.99628, Validation Loss: 2.70537
Epoch 295: Loss: 0.99633, Validation Loss: 2.70547
Epoch 296: Loss: 0.99637, Validation Loss: 2.70558
Epoch 297: Loss: 0.99641, Validation Loss: 2.70568
Epoch 298: Loss: 0.99645, Validation Loss: 2.70578
Epoch 299: Loss: 0.99649, Validation Loss: 2.70587
Epoch 300: Loss: 0.99653, Validation Loss: 2.70597
Epoch 301: Loss: 0.99657, Validation Loss: 2.70606
Epoch 302: Loss: 0.99661, Validation Loss: 2.70616
Epoch 303: Loss: 0.99665, Validation Loss: 2.70625
Epoch 304: Loss: 0.99669, Validation Loss: 2.70634
Epoch 305: Loss: 0.99673, Validation Loss: 2.70643
Epoch 306: Loss: 0.99677, Validation Loss: 2.70652
Epoch 307: Loss: 0.99680, Validation Loss: 2.70661
Epoch 308: Loss: 0.99684, Validation Loss: 2.70669
Epoch 309: Loss: 0.99687, Validation Loss: 2.70678
Epoch 310: Loss: 0.99691, Validation Loss: 2.70686
Epoch 311: Loss: 0.99694, Validation Loss: 2.70695
Epoch 312: Loss: 0.99698, Validation Loss: 2.70703
Epoch 313: Loss: 0.99701, Validation Loss: 2.70711
Epoch 314: Loss: 0.99704, Validation Loss: 2.70719
Epoch 315: Loss: 0.99708, Validation Loss: 2.70727
Epoch 316: Loss: 0.99711, Validation Loss: 2.70734
Epoch 317: Loss: 0.99714, Validation Loss: 2.70742
Epoch 318: Loss: 0.99717, Validation Loss: 2.70749
Epoch 319: Loss: 0.99720, Validation Loss: 2.70757
Epoch 320: Loss: 0.99724, Validation Loss: 2.70764
Epoch 321: Loss: 0.99727, Validation Loss: 2.70771
Epoch 322: Loss: 0.99730, Validation Loss: 2.70778
Epoch 323: Loss: 0.99733, Validation Loss: 2.70786
Epoch 324: Loss: 0.99735, Validation Loss: 2.70792
Epoch 325: Loss: 0.99738, Validation Loss: 2.70799
Epoch 326: Loss: 0.99741, Validation Loss: 2.70806
Epoch 327: Loss: 0.99744, Validation Loss: 2.70813
Epoch 328: Loss: 0.99747, Validation Loss: 2.70819
Epoch 329: Loss: 0.99749, Validation Loss: 2.70826
Epoch 330: Loss: 0.99752, Validation Loss: 2.70832
Epoch 331: Loss: 0.99755, Validation Loss: 2.70839
Epoch 332: Loss: 0.99757, Validation Loss: 2.70845
Epoch 333: Loss: 0.99760, Validation Loss: 2.70851
Epoch 334: Loss: 0.99762, Validation Loss: 2.70857
Epoch 335: Loss: 0.99765, Validation Loss: 2.70863
Epoch 336: Loss: 0.99767, Validation Loss: 2.70869
Epoch 337: Loss: 0.99770, Validation Loss: 2.70875
Epoch 338: Loss: 0.99772, Validation Loss: 2.70881
Epoch 339: Loss: 0.99775, Validation Loss: 2.70886
Epoch 340: Loss: 0.99777, Validation Loss: 2.70892
Epoch 341: Loss: 0.99779, Validation Loss: 2.70897
Epoch 342: Loss: 0.99782, Validation Loss: 2.70903
Epoch 343: Loss: 0.99784, Validation Loss: 2.70908
Epoch 344: Loss: 0.99786, Validation Loss: 2.70914
Epoch 345: Loss: 0.99788, Validation Loss: 2.70919
Epoch 346: Loss: 0.99791, Validation Loss: 2.70924
