Epoch 148: Loss: 349599383321486340.00000, Validation Loss: 5190188516084409300.00000
Epoch 149: Loss: 346367987232503490.00000, Validation Loss: 5179353959232001000.00000
Epoch 150: Loss: 343179053859673220.00000, Validation Loss: 5168627840458302500.00000
Epoch 151: Loss: 340031861010700220.00000, Validation Loss: 5158008606730919900.00000
Epoch 152: Loss: 336925701554729980.00000, Validation Loss: 5147494733780058100.00000
Epoch 153: Loss: 333859883050482430.00000, Validation Loss: 5137084725447294000.00000
Epoch 154: Loss: 330833727384990530.00000, Validation Loss: 5126777113051767800.00000
Epoch 155: Loss: 327846570422600060.00000, Validation Loss: 5116570454773209100.00000
Epoch 156: Loss: 324897761663900740.00000, Validation Loss: 5106463335051330600.00000
Epoch 157: Loss: 321986663914269310.00000, Validation Loss: 5096454364001034200.00000
Epoch 158: Loss: 319112652961718270.00000, Validation Loss: 5086542176843018200.00000
Epoch 159: Loss: 316275117263752380.00000, Validation Loss: 5076725433349249000.00000
Epoch 160: Loss: 313473457642949380.00000, Validation Loss: 5067002817302908900.00000
Epoch 161: Loss: 310707086990988420.00000, Validation Loss: 5057373035972337700.00000
Epoch 162: Loss: 307975429980859070.00000, Validation Loss: 5047834819598593000.00000
Epoch 163: Loss: 305277922786997180.00000, Validation Loss: 5038386920896190500.00000
Epoch 164: Loss: 302614012813097920.00000, Validation Loss: 5029028114566648800.00000
Epoch 165: Loss: 299983158427367680.00000, Validation Loss: 5019757196824470500.00000
Epoch 166: Loss: 297384828704984770.00000, Validation Loss: 5010572984935149600.00000
Epoch 167: Loss: 294818503177545860.00000, Validation Loss: 5001474316764935200.00000
Epoch 168: Loss: 292283671589283650.00000, Validation Loss: 4992460050341909500.00000
Epoch 169: Loss: 289779833659848770.00000, Validation Loss: 4983529063428133900.00000
Epoch 170: Loss: 287306498853453020.00000, Validation Loss: 4974680253102491600.00000
Epoch 171: Loss: 284863186154184700.00000, Validation Loss: 4965912535353957400.00000
Epoch 172: Loss: 282449423847305120.00000, Validation Loss: 4957224844684940300.00000
Epoch 173: Loss: 280064749306347780.00000, Validation Loss: 4948616133724477400.00000
Epoch 174: Loss: 277708708785844350.00000, Validation Loss: 4940085372850954200.00000
Epoch 175: Loss: 275380857219511550.00000, Validation Loss: 4931631549824085000.00000
Epoch 176: Loss: 273080758023731710.00000, Validation Loss: 4923253669425906700.00000
Epoch 177: Loss: 270807982906173380.00000, Validation Loss: 4914950753110529000.00000
Epoch 178: Loss: 268562111679396350.00000, Validation Loss: 4906721838662376400.00000
Epoch 179: Loss: 266342732079297730.00000, Validation Loss: 4898565979862711300.00000
Epoch 180: Loss: 264149439588252030.00000, Validation Loss: 4890482246164193300.00000
Epoch 181: Loss: 261981837262811550.00000, Validation Loss: 4882469722373246000.00000
Epoch 182: Loss: 259839535565831360.00000, Validation Loss: 4874527508340031500.00000
Epoch 183: Loss: 257722152202890850.00000, Validation Loss: 4866654718655807500.00000
Epoch 184: Loss: 255629311962887650.00000, Validation Loss: 4858850482357476400.00000
Epoch 185: Loss: 253560646562682270.00000, Validation Loss: 4851113942639122400.00000
Epoch 186: Loss: 251515794495677660.00000, Validation Loss: 4843444256570353700.00000
Epoch 187: Loss: 249494400884220480.00000, Validation Loss: 4835840594821244900.00000
Epoch 188: Loss: 247496117335713790.00000, Validation Loss: 4828302141393729500.00000
Epoch 189: Loss: 245520601802336740.00000, Validation Loss: 4820828093359267800.00000
Epoch 190: Loss: 243567518444268580.00000, Validation Loss: 4813417660602566700.00000
Epoch 191: Loss: 241636537496316420.00000, Validation Loss: 4806070065571285000.00000
Epoch 192: Loss: 239727335137851650.00000, Validation Loss: 4798784543031458800.00000
Epoch 193: Loss: 237839593365963330.00000, Validation Loss: 4791560339828608000.00000
Epoch 194: Loss: 235972999871735040.00000, Validation Loss: 4784396714654252000.00000
Epoch 195: Loss: 234127247919561470.00000, Validation Loss: 4777292937817795600.00000
Epoch 196: Loss: 232302036229417380.00000, Validation Loss: 4770248291023588400.00000
Epoch 197: Loss: 230497068861999260.00000, Validation Loss: 4763262067153029100.00000
Epoch 198: Loss: 228712055106658340.00000, Validation Loss: 4756333570051601400.00000
Epoch 199: Loss: 226946709372049250.00000, Validation Loss: 4749462114320698400.00000
Epoch 200: Loss: 225200751079419420.00000, Validation Loss: 4742647025114112000.00000
Epoch 201: Loss: 223473904558466910.00000, Validation Loss: 4735887637939059700.00000
Epoch 202: Loss: 221765898945696220.00000, Validation Loss: 4729183298461669400.00000
Epoch 203: Loss: 220076468085204930.00000, Validation Loss: 4722533362316752900.00000
Epoch 204: Loss: 218405350431834500.00000, Validation Loss: 4715937194921794600.00000
Epoch 205: Loss: 216752288956621920.00000, Validation Loss: 4709394171295053800.00000
Epoch 206: Loss: 215117031054490180.00000, Validation Loss: 4702903675877626900.00000
Epoch 207: Loss: 213499328454116510.00000, Validation Loss: 4696465102359448600.00000
Epoch 208: Loss: 211898937129922240.00000, Validation Loss: 4690077853509054500.00000
Epoch 209: Loss: 210315617216125570.00000, Validation Loss: 4683741341007054800.00000
Epoch 210: Loss: 208749132922803170.00000, Validation Loss: 4677454985283225600.00000
Epoch 211: Loss: 207199252453907390.00000, Validation Loss: 4671218215357097000.00000
Epoch 212: Loss: 205665747927188670.00000, Validation Loss: 4665030468681995300.00000
Epoch 213: Loss: 204148395295970620.00000, Validation Loss: 4658891190992415700.00000
Epoch 214: Loss: 202646974272730530.00000, Validation Loss: 4652799836154656800.00000
Epoch 215: Loss: 201161268254438110.00000, Validation Loss: 4646755866020644900.00000
Epoch 216: Loss: 199691064249606460.00000, Validation Loss: 4640758750284860400.00000
Epoch 217: Loss: 198236152807011360.00000, Validation Loss: 4634807966344293400.00000
Epoch 218: Loss: 196796327946032900.00000, Validation Loss: 4628902999161345000.00000
Epoch 219: Loss: 195371387088582180.00000, Validation Loss: 4623043341129619500.00000
Epoch 220: Loss: 193961130992568380.00000, Validation Loss: 4617228491942537200.00000
Epoch 221: Loss: 192565363686867810.00000, Validation Loss: 4611457958464666100.00000
Epoch 222: Loss: 191183892407757570.00000, Validation Loss: 4605731254605766700.00000
Epoch 223: Loss: 189816527536774500.00000, Validation Loss: 4600047901197426700.00000
Epoch 224: Loss: 188463082539965790.00000, Validation Loss: 4594407425872247300.00000
Epoch 225: Loss: 187123373908492260.00000, Validation Loss: 4588809362945541600.00000
Epoch 226: Loss: 185797221100554210.00000, Validation Loss: 4583253253299445800.00000
Epoch 227: Loss: 184484446484603550.00000, Validation Loss: 4577738644269408300.00000
Epoch 228: Loss: 183184875283811490.00000, Validation Loss: 4572265089533003300.00000
Epoch 229: Loss: 181898335521758910.00000, Validation Loss: 4566832149001006100.00000
Epoch 230: Loss: 180624657969320640.00000, Validation Loss: 4561439388710677000.00000
Epoch 231: Loss: 179363676092712160.00000, Validation Loss: 4556086380721202200.00000
Epoch 232: Loss: 178115226002671810.00000, Validation Loss: 4550772703011250200.00000
Epoch 233: Loss: 176879146404747550.00000, Validation Loss: 4545497939378584600.00000
Epoch 234: Loss: 175655278550664930.00000, Validation Loss: 4540261679341688300.00000
Epoch 235: Loss: 174443466190745920.00000, Validation Loss: 4535063518043343400.00000
Epoch 236: Loss: 173243555527354720.00000, Validation Loss: 4529903056156160000.00000
Epoch 237: Loss: 172055395169345860.00000, Validation Loss: 4524779899789952000.00000
Epoch 238: Loss: 170878836087487710.00000, Validation Loss: 4519693660400954400.00000
Epoch 239: Loss: 169713731570841760.00000, Validation Loss: 4514643954702838800.00000
Epoch 240: Loss: 168559937184070240.00000, Validation Loss: 4509630404579479600.00000
Epoch 241: Loss: 167417310725651900.00000, Validation Loss: 4504652636999418900.00000
Epoch 242: Loss: 166285712186984380.00000, Validation Loss: 4499710283932017700.00000
Epoch 243: Loss: 165165003712350660.00000, Validation Loss: 4494802982265230300.00000
Epoch 244: Loss: 164055049559728640.00000, Validation Loss: 4489930373724992500.00000
Epoch 245: Loss: 162955716062426590.00000, Validation Loss: 4485092104796153300.00000
Epoch 246: Loss: 161866871591520000.00000, Validation Loss: 4480287826644948500.00000
Epoch 247: Loss: 160788386519075360.00000, Validation Loss: 4475517195042949600.00000
Epoch 248: Loss: 159720133182139870.00000, Validation Loss: 4470779870292506100.00000
Epoch 249: Loss: 158661985847478500.00000, Validation Loss: 4466075517153573900.00000
Epoch 250: Loss: 157613820677043550.00000, Validation Loss: 4461403804771974100.00000
Epoch 251: Loss: 156575515694155550.00000, Validation Loss: 4456764406608999400.00000
Epoch 252: Loss: 155546950750382980.00000, Validation Loss: 4452157000372354000.00000
Epoch 253: Loss: 154528007493100770.00000, Validation Loss: 4447581267948422700.00000
Epoch 254: Loss: 153518569333714980.00000, Validation Loss: 4443036895335784400.00000
Epoch 255: Loss: 152518521416535360.00000, Validation Loss: 4438523572580003800.00000
Epoch 256: Loss: 151527750588283490.00000, Validation Loss: 4434040993709638700.00000
Epoch 257: Loss: 150546145368218820.00000, Validation Loss: 4429588856673426400.00000
Epoch 258: Loss: 149573595918871620.00000, Validation Loss: 4425166863278670800.00000
Epoch 259: Loss: 148609994017366300.00000, Validation Loss: 4420774719130753500.00000
Epoch 260: Loss: 147655233027322940.00000, Validation Loss: 4416412133573768700.00000
Epoch 261: Loss: 146709207871323230.00000, Validation Loss: 4412078819632264200.00000
Epoch 262: Loss: 145771815003928770.00000, Validation Loss: 4407774493954053100.00000
Epoch 263: Loss: 144842952385237440.00000, Validation Loss: 4403498876754066400.00000
Epoch 264: Loss: 143922519454968190.00000, Validation Loss: 4399251691759246300.00000
Epoch 265: Loss: 143010417107059980.00000, Validation Loss: 4395032666154447900.00000
Epoch 266: Loss: 142106547664774670.00000, Validation Loss: 4390841530529308700.00000
Epoch 267: Loss: 141210814856291840.00000, Validation Loss: 4386678018826111500.00000
Epoch 268: Loss: 140323123790784940.00000, Validation Loss: 4382541868288558600.00000
Epoch 269: Loss: 139443380934968270.00000, Validation Loss: 4378432819411506700.00000
Epoch 270: Loss: 138571494090102930.00000, Validation Loss: 4374350615891577300.00000
Epoch 271: Loss: 137707372369453170.00000, Validation Loss: 4370295004578667500.00000
Epoch 272: Loss: 136850926176182500.00000, Validation Loss: 4366265735428340200.00000
Epoch 273: Loss: 136002067181679680.00000, Validation Loss: 4362262561455036900.00000
Epoch 274: Loss: 135160708304304610.00000, Validation Loss: 4358285238686155800.00000
Epoch 275: Loss: 134326763688547140.00000, Validation Loss: 4354333526116914200.00000
Epoch 276: Loss: 133500148684586370.00000, Validation Loss: 4350407185666042900.00000
Epoch 277: Loss: 132680779828244020.00000, Validation Loss: 4346505982132239400.00000
Epoch 278: Loss: 131868574821323700.00000, Validation Loss: 4342629683151391700.00000
Epoch 279: Loss: 131063452512324750.00000, Validation Loss: 4338778059154568200.00000
Epoch 280: Loss: 130265332877526320.00000, Validation Loss: 4334950883326725100.00000
Epoch 281: Loss: 129474137002430220.00000, Validation Loss: 4331147931566150700.00000
Epoch 282: Loss: 128689787063557730.00000, Validation Loss: 4327368982444598800.00000
Epoch 283: Loss: 127912206310590130.00000, Validation Loss: 4323613817168140800.00000
Epoch 284: Loss: 127141319048848000.00000, Validation Loss: 4319882219538666500.00000
Epoch 285: Loss: 126377050622099580.00000, Validation Loss: 4316173975916080100.00000
Epoch 286: Loss: 125619327395693730.00000, Validation Loss: 4312488875181115900.00000
Epoch 287: Loss: 124868076740008180.00000, Validation Loss: 4308826708698826200.00000
Epoch 288: Loss: 124123227014208130.00000, Validation Loss: 4305187270282667500.00000
Epoch 289: Loss: 123384707550307500.00000, Validation Loss: 4301570356159221800.00000
Epoch 290: Loss: 122652448637527420.00000, Validation Loss: 4297975764933504000.00000
Epoch 291: Loss: 121926381506944370.00000, Validation Loss: 4294403297554869200.00000
Epoch 292: Loss: 121206438316423140.00000, Validation Loss: 4290852757283491800.00000
Epoch 293: Loss: 120492552135828320.00000, Validation Loss: 4287323949657420800.00000
Epoch 294: Loss: 119784656932507710.00000, Validation Loss: 4283816682460180500.00000
Epoch 295: Loss: 119082687557042930.00000, Validation Loss: 4280330765688925200.00000
Epoch 296: Loss: 118386579729261360.00000, Validation Loss: 4276866011523115500.00000
Epoch 297: Loss: 117696270024503490.00000, Validation Loss: 4273422234293741100.00000
Epoch 298: Loss: 117011695860141390.00000, Validation Loss: 4269999250453036000.00000
Epoch 299: Loss: 116332795482342030.00000, Validation Loss: 4266596878544710100.00000
Epoch 300: Loss: 115659507953070770.00000, Validation Loss: 4263214939174666200.00000
Epoch 301: Loss: 114991773137331260.00000, Validation Loss: 4259853254982217700.00000
Epoch 302: Loss: 114329531690634210.00000, Validation Loss: 4256511650611762700.00000
Epoch 303: Loss: 113672725046693380.00000, Validation Loss: 4253189952684939800.00000
Epoch 304: Loss: 113021295405342100.00000, Validation Loss: 4249887989773233200.00000
Epoch 305: Loss: 112375185720666210.00000, Validation Loss: 4246605592371032100.00000
Epoch 306: Loss: 111734339689350110.00000, Validation Loss: 4243342592869131300.00000
Epoch 307: Loss: 111098701739229710.00000, Validation Loss: 4240098825528650800.00000
Epoch 308: Loss: 110468217018049950.00000, Validation Loss: 4236874126455411700.00000
Epoch 309: Loss: 109842831382421790.00000, Validation Loss: 4233668333574677500.00000
Epoch 310: Loss: 109222491386974740.00000, Validation Loss: 4230481286606359600.00000
Epoch 311: Loss: 108607144273700540.00000, Validation Loss: 4227312827040587800.00000
Epoch 312: Loss: 107996737961486220.00000, Validation Loss: 4224162798113680400.00000
Epoch 313: Loss: 107391221035829200.00000, Validation Loss: 4221031044784510000.00000
Epoch 314: Loss: 106790542738734820.00000, Validation Loss: 4217917413711239700.00000
Epoch 315: Loss: 106194652958789300.00000, Validation Loss: 4214821753228429800.00000
Epoch 316: Loss: 105603502221406380.00000, Validation Loss: 4211743913324522000.00000
Epoch 317: Loss: 105017041679244480.00000, Validation Loss: 4208683745619668000.00000
Epoch 318: Loss: 104435223102789630.00000, Validation Loss: 4205641103343911900.00000
Epoch 319: Loss: 103857998871102140.00000, Validation Loss: 4202615841315730900.00000
Epoch 320: Loss: 103285321962722910.00000, Validation Loss: 4199607815920892900.00000
Epoch 321: Loss: 102717145946737170.00000, Validation Loss: 4196616885091676200.00000
Epoch 322: Loss: 102153424973991790.00000, Validation Loss: 4193642908286375400.00000
Epoch 323: Loss: 101594113768463500.00000, Validation Loss: 4190685746469176800.00000
Epoch 324: Loss: 101039167618774500.00000, Validation Loss: 4187745262090307100.00000
Epoch 325: Loss: 100488542369854370.00000, Validation Loss: 4184821319066516000.00000
Epoch 326: Loss: 99942194414742768.00000, Validation Loss: 4181913782761848800.00000
Epoch 327: Loss: 99400080686532608.00000, Validation Loss: 4179022519968732200.00000
